,id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,0ac6wpfha90oah72SCNTPV,Pieces of Us (feat. King Princess),Pieces of Us (feat. King Princess),"Mark Ronson, King Princess",False,39,0.571,0.747,0,-8.708,0,0.068,0.153,0.0,0.186,0.35,101.972,audio_features,spotify:track:0ac6wpfha90oah72SCNTPV,https://api.spotify.com/v1/tracks/0ac6wpfha90oah72SCNTPV,https://api.spotify.com/v1/audio-analysis/0ac6wpfha90oah72SCNTPV,206401,4
1,3cl6BsTDeeGRbgug5TXrvg,Shoot Me : Youth Part 1,Shoot Me,DAY6,False,66,0.583,0.916,1,-1.396,1,0.149,0.0683,0.0,0.0489,0.732,167.933,audio_features,spotify:track:3cl6BsTDeeGRbgug5TXrvg,https://api.spotify.com/v1/tracks/3cl6BsTDeeGRbgug5TXrvg,https://api.spotify.com/v1/audio-analysis/3cl6BsTDeeGRbgug5TXrvg,175837,4
2,6PUYqQtGWVAovZrLC9BIqt,Youngblood (Deluxe),Babylon,5 Seconds of Summer,False,61,0.521,0.884,4,-2.931,0,0.0403,0.00155,1.69e-06,0.209,0.494,92.988,audio_features,spotify:track:6PUYqQtGWVAovZrLC9BIqt,https://api.spotify.com/v1/tracks/6PUYqQtGWVAovZrLC9BIqt,https://api.spotify.com/v1/audio-analysis/6PUYqQtGWVAovZrLC9BIqt,213186,4
3,4aceMabp5rzZYoKKXsUffr,MOONRISE,누군가 필요해 I Need Somebody,DAY6,False,62,0.419,0.532,5,-4.759,0,0.0344,0.127,0.0,0.0785,0.337,184.197,audio_features,spotify:track:4aceMabp5rzZYoKKXsUffr,https://api.spotify.com/v1/tracks/4aceMabp5rzZYoKKXsUffr,https://api.spotify.com/v1/audio-analysis/4aceMabp5rzZYoKKXsUffr,218737,4
4,1YlulsUKDduOmC7WxvXYPW,Free Time,Painkiller,Ruel,False,75,0.683,0.42,5,-6.51,1,0.0542,0.0875,0.0,0.225,0.469,128.621,audio_features,spotify:track:1YlulsUKDduOmC7WxvXYPW,https://api.spotify.com/v1/tracks/1YlulsUKDduOmC7WxvXYPW,https://api.spotify.com/v1/audio-analysis/1YlulsUKDduOmC7WxvXYPW,213507,4
5,78qd8dvwea0Gosb6Fe6j3k,Boss Bitch,Boss Bitch,Doja Cat,False,84,0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,audio_features,spotify:track:78qd8dvwea0Gosb6Fe6j3k,https://api.spotify.com/v1/tracks/78qd8dvwea0Gosb6Fe6j3k,https://api.spotify.com/v1/audio-analysis/78qd8dvwea0Gosb6Fe6j3k,134240,4
6,0bGLvHd0ApdT4t0shCfpzG,Sick Boy,Side Effects,"The Chainsmokers, Emily Warren",False,63,0.669,0.711,8,-6.758,1,0.033,0.00217,0.0,0.466,0.544,110.01,audio_features,spotify:track:0bGLvHd0ApdT4t0shCfpzG,https://api.spotify.com/v1/tracks/0bGLvHd0ApdT4t0shCfpzG,https://api.spotify.com/v1/audio-analysis/0bGLvHd0ApdT4t0shCfpzG,172747,4
7,2SDp3jq2sLFqhSgFFygSwF,Heartbreak Magic,Heartbreak Magic,Riah,False,33,0.407,0.434,9,-10.365,0,0.0609,0.273,0.00079,0.229,0.323,82.602,audio_features,spotify:track:2SDp3jq2sLFqhSgFFygSwF,https://api.spotify.com/v1/tracks/2SDp3jq2sLFqhSgFFygSwF,https://api.spotify.com/v1/audio-analysis/2SDp3jq2sLFqhSgFFygSwF,202320,1
8,086myS9r57YsLbJpU0TgK9,AM,Why'd You Only Call Me When You're High?,Arctic Monkeys,False,86,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,audio_features,spotify:track:086myS9r57YsLbJpU0TgK9,https://api.spotify.com/v1/tracks/086myS9r57YsLbJpU0TgK9,https://api.spotify.com/v1/audio-analysis/086myS9r57YsLbJpU0TgK9,161124,4
9,04XmAoRBg3oZdc3cMb52iJ,Remember Us : Youth Part 2,두통 Headache,DAY6,False,49,0.489,0.928,9,-2.417,0,0.112,0.00745,0.0,0.209,0.456,160.958,audio_features,spotify:track:04XmAoRBg3oZdc3cMb52iJ,https://api.spotify.com/v1/tracks/04XmAoRBg3oZdc3cMb52iJ,https://api.spotify.com/v1/audio-analysis/04XmAoRBg3oZdc3cMb52iJ,177558,4
